Tarposition(deg)	position(deg)	Current(A)	Tarposition2(deg)	position2(deg)	Current2(A)
96.00000000 1316.91650391 0.02238299 0.00000000 0.00000000 0.00000000
97.00000000 1332.79199219 0.02129108 0.00000000 0.00000000 0.00000000
98.00000000 1347.45922852 0.02253322 0.00000000 0.00000000 0.00000000
99.00000000 1362.23632812 0.02371403 0.00000000 0.00000000 0.00000000
100.00000000 1379.26574707 0.02166601 0.00000000 0.00000000 0.00000000
101.00000000 1397.39367676 0.02241161 0.00000000 0.00000000 0.00000000
102.00000000 1411.84130859 0.02305566 0.00000000 0.00000000 0.00000000
103.00000000 1432.82580566 0.02357524 0.00000000 0.00000000 0.00000000
104.00000000 1447.54797363 0.02329186 0.00000000 0.00000000 0.00000000
105.00000000 1463.20373535 0.02345844 0.00000000 0.00000000 0.00000000
106.00000000 1477.92590332 0.02255012 0.00000000 0.00000000 0.00000000
107.00000000 1492.15368652 0.02083019 0.00000000 0.00000000 0.00000000
108.00000000 1507.15063477 0.02162327 0.00000000 0.00000000 0.00000000
109.00000000 1523.08105469 0.02240785 0.00000000 0.00000000 0.00000000
110.00000000 1536.97924805 0.02233944 0.00000000 0.00000000 0.00000000
111.00000000 1552.30566406 0.02052583 0.00000000 0.00000000 0.00000000
112.00000000 1567.30261230 0.02076299 0.00000000 0.00000000 0.00000000
113.00000000 1583.01330566 0.02163367 0.00000000 0.00000000 0.00000000
114.00000000 1599.05395508 0.02013481 0.00000000 0.00000000 0.00000000
115.00000000 1615.69873047 0.01963737 0.00000000 0.00000000 0.00000000
116.00000000 1633.05773926 0.01900387 0.00000000 0.00000000 0.00000000
117.00000000 1648.76867676 0.01891382 0.00000000 0.00000000 0.00000000
118.00000000 1664.20483398 0.01938286 0.00000000 0.00000000 0.00000000
119.00000000 1679.20166016 0.01915273 0.00000000 0.00000000 0.00000000
120.00000000 1694.58300781 0.01970562 0.00000000 0.00000000 0.00000000
121.00000000 1714.30407715 0.01707508 0.00000000 0.00000000 0.00000000
122.00000000 1730.78405762 0.01859495 0.00000000 0.00000000 0.00000000
123.00000000 1747.37377930 0.01912583 0.00000000 0.00000000 0.00000000
124.00000000 1763.79907227 0.01985037 0.00000000 0.00000000 0.00000000
125.00000000 1779.07031250 0.01894388 0.00000000 0.00000000 0.00000000
126.00000000 1794.12219238 0.02024718 0.00000000 0.00000000 0.00000000
127.00000000 1790.38671875 0.01704249 0.00000000 0.00000000 0.00000000
128.00000000 1773.96166992 0.01367085 0.00000000 0.00000000 0.00000000
129.00000000 1757.86621094 0.01274243 0.00000000 0.00000000 0.00000000
130.00000000 1742.75952148 0.01478925 0.00000000 0.00000000 0.00000000
131.00000000 1721.00598145 0.01610573 0.00000000 0.00000000 0.00000000
132.00000000 1706.06396484 0.01481061 0.00000000 0.00000000 0.00000000
133.00000000 1688.86999512 0.01129327 0.00000000 0.00000000 0.00000000
134.00000000 1670.35729980 0.00945018 0.00000000 0.00000000 0.00000000
135.00000000 1655.30566406 0.00724166 0.00000000 0.00000000 0.00000000
136.00000000 1640.30883789 0.00819006 0.00000000 0.00000000 0.00000000
137.00000000 1620.69763184 0.00885112 0.00000000 0.00000000 0.00000000
138.00000000 1602.78942871 0.00708542 0.00000000 0.00000000 0.00000000
139.00000000 1586.36425781 0.00762700 0.00000000 0.00000000 0.00000000
140.00000000 1571.53234863 0.00887906 0.00000000 0.00000000 0.00000000
141.00000000 1553.95361328 0.01037976 0.00000000 0.00000000 0.00000000
142.00000000 1538.40759277 0.01049573 0.00000000 0.00000000 0.00000000
143.00000000 1523.46557617 0.01414266 0.00000000 0.00000000 0.00000000
144.00000000 1504.73339844 0.01447749 0.00000000 0.00000000 0.00000000
145.00000000 1489.79150391 0.01536880 0.00000000 0.00000000 0.00000000
146.00000000 1470.72973633 0.01443511 0.00000000 0.00000000 0.00000000
147.00000000 1456.00756836 0.01493655 0.00000000 0.00000000 0.00000000
148.00000000 1436.28662109 0.01604253 0.00000000 0.00000000 0.00000000
149.00000000 1421.17980957 0.01919846 0.00000000 0.00000000 0.00000000
150.00000000 1405.68859863 0.01772102 0.00000000 0.00000000 0.00000000
151.00000000 1390.14245605 0.01933747 0.00000000 0.00000000 0.00000000
152.00000000 1374.92590332 0.02017814 0.00000000 0.00000000 0.00000000
153.00000000 1358.83056641 0.01948672 0.00000000 0.00000000 0.00000000
154.00000000 1343.00976562 0.02050390 0.00000000 0.00000000 0.00000000
155.00000000 1315.32336426 0.01895857 0.00000000 0.00000000 0.00000000
156.00000000 1294.88806152 0.01544574 0.00000000 0.00000000 0.00000000
157.00000000 1280.44067383 0.01562718 0.00000000 0.00000000 0.00000000
158.00000000 1265.88342285 0.01643059 0.00000000 0.00000000 0.00000000
159.00000000 1251.05139160 0.01635960 0.00000000 0.00000000 0.00000000
160.00000000 1236.27429199 0.01778916 0.00000000 0.00000000 0.00000000
161.00000000 1217.37719727 0.01659863 0.00000000 0.00000000 0.00000000
162.00000000 1202.38049316 0.01803185 0.00000000 0.00000000 0.00000000
163.00000000 1187.49340820 0.01722960 0.00000000 0.00000000 0.00000000
164.00000000 1171.39807129 0.01724432 0.00000000 0.00000000 0.00000000
165.00000000 1156.29150391 0.01945485 0.00000000 0.00000000 0.00000000
166.00000000 1138.16345215 0.02089473 0.00000000 0.00000000 0.00000000
167.00000000 1123.11169434 0.01794029 0.00000000 0.00000000 0.00000000
168.00000000 1104.76391602 0.01781152 0.00000000 0.00000000 0.00000000
169.00000000 1089.71228027 0.01705232 0.00000000 0.00000000 0.00000000
170.00000000 1065.04711914 0.01810444 0.00000000 0.00000000 0.00000000
171.00000000 1050.27001953 0.01825192 0.00000000 0.00000000 0.00000000
172.00000000 1033.18579102 0.01784037 0.00000000 0.00000000 0.00000000
173.00000000 1012.14636230 0.01722377 0.00000000 0.00000000 0.00000000
174.00000000 996.87493896 0.01803984 0.00000000 0.00000000 0.00000000
175.00000000 981.43859863 0.01689618 0.00000000 0.00000000 0.00000000
176.00000000 963.85998535 0.01610374 0.00000000 0.00000000 0.00000000
177.00000000 947.87451172 0.01527403 0.00000000 0.00000000 0.00000000
178.00000000 933.15222168 0.01441979 0.00000000 0.00000000 0.00000000
179.00000000 918.70471191 0.01564515 0.00000000 0.00000000 0.00000000
180.00000000 899.86267090 0.01502970 0.00000000 0.00000000 0.00000000
181.00000000 884.04193115 0.01531946 0.00000000 0.00000000 0.00000000
182.00000000 868.55059814 0.01709390 0.00000000 0.00000000 0.00000000
183.00000000 850.53247070 0.01880337 0.00000000 0.00000000 0.00000000
184.00000000 835.37091064 0.01862158 0.00000000 0.00000000 0.00000000
185.00000000 817.13311768 0.01948692 0.00000000 0.00000000 0.00000000
186.00000000 801.42218018 0.01850897 0.00000000 0.00000000 0.00000000
187.00000000 786.80993652 0.01937804 0.00000000 0.00000000 0.00000000
